INCH,BIT
0.005900,#97
0.005906,0.15 mm
0.006299,0.16 mm
0.006300,#96
0.006693,0.17 mm
0.006700,#95
0.007087,0.18 mm
0.007100,#94
0.007480,0.19 mm
0.007500,#93
0.007874,0.2 mm
0.007900,#92
0.008300,#91
0.008661,0.22 mm
0.008700,#90
0.009100,#89
0.009500,#88
0.009843,0.25 mm
0.010000,#87
0.010500,#86
0.011000,#85
0.011024,0.28 mm
0.011500,#84
0.011811,0.3 mm
0.012000,#83
0.012500,#82
0.012598,0.32 mm
0.013000,#81
0.013500,#80
0.013780,0.35 mm
0.014500,#79
0.014961,0.38 mm
0.015625,1/64
0.015748,0.4 mm
0.016000,#78
0.016535,0.42 mm
0.017717,0.45 mm
0.018000,#77
0.018898,0.48 mm
0.019685,0.5 mm
0.020000,#76
0.021000,#75
0.021654,0.55 mm
0.022500,#74
0.023622,0.6 mm
0.024000,#73
0.025000,#72
0.025591,0.65 mm
0.026000,#71
0.027559,0.7 mm
0.028000,#70
0.029200,#69
0.029528,0.75 mm
0.031000,#68
0.031250,1/32
0.031496,0.8 mm
0.032000,#67
0.033000,#66
0.033465,0.85 mm
0.035000,#65
0.035433,0.9 mm
0.036000,#64
0.037000,#63
0.037402,0.95 mm
0.038000,#62
0.039000,#61
0.039370,1 mm
0.040000,#60
0.041000,#59
0.041339,1.05 mm
0.042000,#58
0.043000,#57
0.043307,1.1 mm
0.045276,1.15 mm
0.046500,#56
0.046875,3/64
0.047244,1.2 mm
0.049213,1.25 mm
0.051181,1.3 mm
0.052000,#55
0.053150,1.35 mm
0.055000,#54
0.055118,1.4 mm
0.057087,1.45 mm
0.059055,1.5 mm
0.059500,#53
0.061024,1.55 mm
0.062500,1/16
0.062992,1.6 mm
0.063500,#52
0.064961,1.65 mm
0.066929,1.7 mm
0.067000,#51
0.068898,1.75 mm
0.070000,#50
0.070866,1.8 mm
0.072835,1.85 mm
0.073000,#49
0.074803,1.9 mm
0.076000,#48
0.076772,1.95 mm
0.078125,5/64
0.078500,#47
0.078740,2 mm
0.080709,2.05 mm
0.081000,#46
0.082000,#45
0.082677,2.1 mm
0.084646,2.15 mm
0.086000,#44
0.086614,2.2 mm
0.088583,2.25 mm
0.089000,#43
0.090551,2.3 mm
0.092520,2.35 mm
0.093500,#42
0.093750,3/32
0.094488,2.4 mm
0.096000,#41
0.096457,2.45 mm
0.098000,#40
0.098425,2.5 mm
0.099500,#39
0.101500,#38
0.102362,2.6 mm
0.104000,#37
0.106299,2.7 mm
0.106500,#36
0.109375,7/64
0.110000,#35
0.110236,2.8 mm
0.111000,#34
0.113000,#33
0.114173,2.9 mm
0.116000,#32
0.118110,3 mm
0.120000,#31
0.122047,3.1 mm
0.125000,1/8
0.125984,3.2 mm
0.128500,#30
0.129921,3.3 mm
0.133858,3.4 mm
0.136000,#29
0.137795,3.5 mm
0.140500,#28
0.140625,9/64
0.141732,3.6 mm
0.144000,#27
0.145669,3.7 mm
0.147000,#26
0.149500,#25
0.149606,3.8 mm
0.152000,#24
0.153543,3.9 mm
0.154000,#23
0.156250,5/32
0.157000,#22
0.157480,4 mm
0.159000,#21
0.161000,#20
0.161417,4.1 mm
0.165354,4.2 mm
0.166000,#19
0.169291,4.3 mm
0.169500,#18
0.171875,11/64
0.173000,#17
0.173228,4.4 mm
0.177000,#16
0.177165,4.5 mm
0.180000,#15
0.181102,4.6 mm
0.182000,#14
0.185000,#13
0.185039,4.7 mm
0.187500,3/16
0.188976,4.8 mm
0.189000,#12
0.191000,#11
0.192913,4.9 mm
0.193500,#10
0.196000,#9
0.196850,5 mm
0.199000,#8
0.200787,5.1 mm
0.201000,#7
0.203125,13/64
0.204000,#6
0.204724,5.2 mm
0.205500,#5
0.208661,5.3 mm
0.209000,#4
0.212598,5.4 mm
0.213000,#3
0.216535,5.5 mm
0.218750,7/32
0.220472,5.6 mm
0.221000,#2
0.224409,5.7 mm
0.228000,#1
0.228346,5.8 mm
0.232283,5.9 mm
0.234000,A
0.234375,15/64
0.236220,6 mm
0.238000,B
0.240157,6.1 mm
0.242000,C
0.244094,6.2 mm
0.246000,D
0.248031,6.3 mm
0.250000,E
0.251969,6.4 mm
0.255906,6.5 mm
0.257000,F
0.259843,6.6 mm
